address, current_balance , gross_tx_amount , in_amount , out_amount , fees , out_txn_count , in_tx_count , gross_txn_count 
GBHRAM7BEGXHUXNVCW2OWAJVODIJCUWBRFAXSGMH5WWE3FX644NR2Z3K,600.00,600.00,600.00,0,0,0,2,2
GAXDYZCKIT533FRGQKJF7IXP7MNPFNBMBRCVK7Y5D7NTADDMR6FBX57R,599.70,"3,394.00","2,000.00",1394,6.3,4,8,12
GCT7FLQXVMB2QCQNT4QJKBUCUMDOA4KLKVWJCC4DDHTXSTTFRUWWS2DX,598.65,"1,200.00",900.00,300,1.35,1,5,6
GDWTLJ42NZECDMRABZO64RBYI5PMSDNZL52QA6MWEHHMT4HUAJPSGZJJ,576.00,576.00,576.00,0,0,1,5,6
GAJZLG7WY6G7S2NRJSMK3R2UJCBUFMFRXTEEAN5LQP5ARD5QRULCAOAA,573.40,"1,728.00","1,152.00",576,2.6,7,17,24
GBE3LNQP3RFBJNXV7NW72WNIMQ3SJAOYHO4W4NWQWWELVYKSXVQ7ZKCM,565.57,"1,648.00","1,108.00",540,2.43,5,5,10
GAW2TKRSNRX46ILOQ3E6SVUFY5CGH2I34PLUIRQH3IXVWFJXQQKMLXIV,555.99,"1,158,844.00","579,700.00",579144,0.01,559,563,1122
GBBR53ZZLZWAX7PDENTRJ5VAD4KBP4WIV76D4IJJFAGKVGGRTCW3ZGUA,538.97,"3,668.00","2,107.00",1561,7.03,8,15,23
GDS6ABOYCNEL435Q6DEEGYMILGZAQHPG6NCAQVB32UYAXQ4W5YAFZGO3,511.00,511.00,511.00,0,0,0,12,12
GBV4C7T7GS7THO4IPPM3YGBAS443II3HGV3AG3YFEOFBNTOCZF3W7NOP,500.00,500.00,500.00,0,0,0,4,4
GDT24Q5ZBGAZWGJCHE3NOUATGZYKK7ZRGRJ3MPYDMLKM3REXLYXAADIE,500.00,500.00,500.00,0,0,0,1,1
GB7ZVGR75O2JNDQTOYAR6TIT3XU3VPXEDZKITMFKDGZSYEJBPPTQU7BD,499.87,"1,001.00",751.00,250,1.13,1,2,3
GDO4MFC466XW2G3XHCJQHYJABBNVFNIKL5XDLAHFOTT2V4KP4UOTISRC,497.42,"2,091.00","1,296.00",795,3.58,3,5,8
GALL3JBQWWDHG72MMYB3SJ6K5BPAEA7B6RYYWJVFVHLBEJCA3XZ2DK72,489.26,"1,708.00","1,100.00",608,2.74,4,2,6
GACFL57NZDA6Y4PQEJLQZUQTZHUWIYIVDZOSI6EFIYII2C5HLEOTIARY,478.99,481.00,480.00,1,0.01,1,4,5
GCIVAP4NWKH4VPP4YXZJSIZLJU4UHXJJ5IYNQLRYIFDFPORQRDWGASA3,477.41,738.00,608.00,130,0.59,1,4,5
GBBIXA2YD33DKROEKSRP5MYEGBYSUKGAUQPCFYW7HHI5NHRRNYNWSIBM,456.00,"3,242,538.00","1,621,497.00",1621041,0,457,459,916
GDZ3HIR4PF26T5Q6R7O5ZP4NY75SIXPDLQ3IQWII3ZZ64BFFWCXFOETK,438.00,"457,962.00","229,200.00",228762,0,438,438,876
GDPTKQRR6NOLDE5GOLEIAABNMRVWPIYVQ5GH2QLMSN2MZEJ2XQ3SHPUR,411.00,411.00,411.00,0,0,0,3,3
GDEPDZCGVQ7U3337CM6QQU5GDDXMEXVM77WNLW3RFNP6JS45HVYW53AL,405.99,"1,753,374.00","876,890.00",876484,0.01,1272,1293,2565
GAKEFYDYHRN7H7XWI2TGJKHXPDACFYJJETFACH6UDU3LJH6D2VAVAMYV,404.00,404.00,404.00,0,0,0,2,2
GCPFLPTE3YJAWCQKANX5HZPHB6A2ZA53GY52XB3AF2C2QWHC6PXVUXRF,403.00,403.00,403.00,0,0,0,2,2
GDOEQXWVVA3BOINDJBHQQCOACXMSBRCLPV3SEA6NR57FTJIEURTDNKXE,400.00,400.00,400.00,0,0,0,4,4
GA3J34NHH2NG6OVV7GBGMI7N4ILTO2M4OXRC5VAMMG3UIGSIZ5352MRS,400.00,400.00,400.00,0,0,0,2,2
GDPMEE4VJETXSXDIR5H3K2BTGZPQFY42I3BQTHJ4II4KWSTMN2MXVX2K,400.00,400.00,400.00,0,0,0,1,1
GAVY4CJW5MUTESUCFXRHU3ZPZYZCY2K6OCRIZQGXJRTKPMUATE5OBU7U,397.50,"6,411.00","3,411.00",3000,13.5,1,3,4
GBQLYIDQEQMZVQMX2BGE2WSIXS3CQRTE5TIFG5H72TJAVLH352X3FKXS,396.00,396.00,396.00,0,0,0,4,4
GAM2UCPC6XTHV7A527B5UEOIGBSAX4JZDERSJ6JDM7QWFZ7BWXR6SANB,394.00,394.00,394.00,0,0,1,2,3
GCO3DY4YYJQAPUZJP4QOMOYBQ2QFYWH54NZ3CJYLETTG3Y7ODUCAOREU,391.00,"446,297.00","223,344.00",222953,0,395,395,790
GA2MDTJAHI6OEO7S4ELJDESDEF53WYTOGTY6FYDGDCOVQSIZ3YEIEISH,389.84,462.00,426.00,36,0.16,1,3,4
GCOC5G7ROYYP6FB5DDPISXPLHOAEDHQVTWGPHQN6L4QTJLL7R4NI5TK5,388.84,461.00,425.00,36,0.16,1,3,4
GD4R5ODYEDCBMN2KUKB5RV2NKT5LNJBWIDRV5HGYW6YUOBI2QDAQS5EH,381.00,"363,027.00","181,704.00",181323,0,382,382,764
GDKKDENEIVFPGZZP6ZYE5M2I47SLIO5432QYTXLZ3C4QQJ753TFYN7GK,381.00,"447,019.00","223,700.00",223319,0,381,381,762
GDJUZFVEU2DP5VQYRJNC5KTFZFM5XSTQ6BJI4YUCQM3SS2U4XGQWUP45,372.00,"561,428.00","280,900.00",280528,0,372,372,744
GDI5AFL4XF7X3XCRRXSZQHMSENXCRSM6JDBWR3ECYJORGFOEVWWVBVLE,372.00,372.00,372.00,0,0,1,3,4
GBNPTJNYCG4VJ5J3RCPU44OKX3FNIDQDKWUVFMDFFPOO74OZVQQDLVZS,356.00,"447,260.00","223,808.00",223452,0,377,377,754
GB2C7H3SJTXL3UY5UIWXDIRTUBG4I2325BKNH3XOHLTIL2PWSAO6PBP2,348.83,423.00,386.00,37,0.17,1,4,5
GAHR6BEVEXKOSTCRK6UNUIBR6SOUEAQGFIVIFSB7WDFJUU3JNTO6W64V,348.19,"7,835.00","4,100.00",3735,16.81,7,2,9
GAHPAUTIZTRTMOTUJ6MPFAWFJ2SSC5S6Z5YUL7QKIUDRESKATFOZJ4HP,346.00,"2,202,412.00","1,101,379.00",1101033,0,347,347,694
GDV7JMURBY4UGQDWUPDYWXZ2YPIMSKCMUZO5KWYCY7BYEJC7ISYBRZ3N,335.00,335.00,335.00,0,0,0,3,3
GD44HM5DXR7YV6667QSVAFYB7C5HQLQKEU4VORHBU657ZYHSZKDPGVRJ,310.00,310.00,310.00,0,0,0,3,3
GAWCOJBSETXKKCXOYP6Y5FL3VNVHJNK5K3R565XQZATNC3Z6HAKHAGWC,301,301.00,301.00,0,0,0,2,2
GCHQQVXXFPGLJPYMOSWDBGVJ7A6O7EZGCF4RBH3D77AWOLQ2THUONNDH,300.62,"2,694.00","1,500.00",1194,5.38,11,9,20
GC7VP7PCAMGIKBD7GDGNFACI2NFY33B6C22EHHZ7NWZQWNHSJ2BRJEK6,300,300,300,0,0,0,1,1
GANPBBU5MQ3PTAKCXGTMUWC2MDU4XXR6FLI4IHHT47HN5VZKHXG62SHI,300,300.00,300.00,0,0,0,1,1
GDUO5T2E4HF7P2RVIKZLAPBYTRC4CA273DD6YNAG7L4RQNJPPKMNCOAJ,300,300,300,0,0,0,3,3
