address, current_balance , gross_tx_amount , in_amount , out_amount , fees , out_txn_count , in_tx_count , gross_txn_count 
GBWEYA6W6XWJXZRHJ2DCOLID2Y73PACGNU3HJ3PWABMHZMIPPHGX4UA3," 2,001.00 "," 2,001.00 "," 2,001.00 ", -   , -   , -   , 2 , 2 
GDQKVDZVWAMJ377F4ZD5LH5YVUVJISTKYFP2ANOL4QZPN5YC23S6EXBO," 2,000.00 "," 2,000.00 "," 2,000.00 ", -   , -   , -   , 6 , 6 
GBHGS3X2FXGVZ4GOKUNQR5IEZ6NAPUFEVE22K6ES33VJCLETOGD7E5T6," 1,995.00 "," 2,004.97 "," 2,000.00 ", 4.97 , 0.02 , 1 , 5 , 6 
GDMI4SZVDBDTKVQVAK3FKBNKALTZHPK6LDKG5WRWWFJHCM263VXCYCXC," 1,955.40 "," 1,957.41 "," 1,956.41 ", 1.00 , 0.00 , 1 , 2 , 3 
GD3MLZUGAFCI24Y54EINFWXSYUT722N73GGJCA6T24JCWNJC4YAGSTER," 1,824.10 "," 1,824.10 "," 1,824.10 ", -   , -   , -   , 4 , 4 
GBOVN4UUB4XQHQGUJPGXYVL2S5JIDAMEBOBVU6EWYXB4DIVSDRWFT2RS," 1,804.74 "," 1,804.74 "," 1,804.74 ", -   , -   , -   , 3 , 3 
GBQTUBKYMM7O355GTZ3VR4Q4RAMPY2ANWN5RNVSEIMP37VGIJJEMZ7MK," 1,800.00 "," 1,800.00 "," 1,800.00 ", -   , -   , -   , 5 , 5 
GABDZO4MZE24BFA4EHG62VKKUUAZKWT2NCHG7OF5AIKDQ2HOEWZYV5UG," 1,800.00 "," 1,800.00 "," 1,800.00 ", -   , -   , -   , 4 , 4 
GCCW4K5HSYO74JVB7SHCTVU3SLD3I5TPA2XWYJFWGCKYYC47BBVP7NZ7," 1,718.32 "," 1,718.32 "," 1,718.32 ", -   , -   , -   , 2 , 2 
GDV7JMURBY4UGQDWUPDYWXZ2YPIMSKCMUZO5KWYCY7BYEJC7ISYBRZ3N," 1,698.29 "," 1,698.29 "," 1,698.29 ", -   , -   , -   , 4 , 4 
GBUJ7PZGLPGW4YA6FFEZ2CIBMMBWEOUTQ3WBEJYQ7TJZ4E22TJWHN4ZE," 1,621.16 "," 15,148.48 "," 8,400.00 "," 6,748.48 ", 30.37 , 9 , 9 , 18 
GB6ZZMIBRO6RQVOCPABHNVEURN3H6VINUB2MTKZV2BJVWP5WFDBWED54," 1,603.22 "," 153,853.50 "," 77,899.27 "," 75,954.23 ", 341.81 , 886 , 55 , 941 
GA7G5YMPXGHJE7I6VWOQQ7FCJ3AVS7XN5OLT6XYB3UUA7WIP4OQ4U37W," 1,601.02 "," 2,399.19 "," 2,001.00 ", 398.19 , 1.79 , 1 , 3 , 4 
GAKVPP5VHI5XDJHIBW7KR6KYFMA3HA7J2Q47KVGP6ZOYVSUSKGJG7SPD," 1,600.00 "," 1,600.00 "," 1,600.00 ", -   , -   , -   , 3 , 3 
GAODLAQEZX6SZK6WXTMHTBA36RW2ZO5FUFK7V2SLSISLLCNTRRLVPCHH," 1,600.00 "," 1,600.00 "," 1,600.00 ", -   , -   , -   , 3 , 3 
GAHR6BEVEXKOSTCRK6UNUIBR6SOUEAQGFIVIFSB7WDFJUU3JNTO6W64V," 1,543.43 "," 19,616.00 "," 10,600.00 "," 9,016.00 ", 40.57 , 5 , 4 , 9 
GAKMNLYNXQZ4NRZWZHHB3OFW4SVBQE4JFHNKI2JMVCMLGNTXTWKZP66Q," 1,504.27 "," 1,504.31 "," 1,504.29 ", 0.02 , 0.00 , 1 , 1 , 2 
GBF3ASQPDGEKO6R6KBCC4ZPSLSEXLB7526K55P7AE6YSYQ4MURHGUH37," 1,390.17 "," 1,390.44 "," 1,390.31 ", 0.13 , 0.01 , 5 , 9 , 14 
GAMRN55M7TFMAVLHOF4436YFWS72KOP7TQDTEXPELK5NAEY3BC6XW3BU," 1,299.98 "," 1,300.02 "," 1,300.00 ", 0.02 , 0.00 , 1 , 2 , 3 
GCT7FLQXVMB2QCQNT4QJKBUCUMDOA4KLKVWJCC4DDHTXSTTFRUWWS2DX," 1,296.85 "," 2,700.00 "," 2,000.00 ", 700.00 , 3.15 , 1 , 5 , 6 
GBEAQX4L7VWZXAQNTOCJNGO6INWQ6EZW2S2WAXDLVG6OSMS3NLYGUOOC," 1,224.83 "," 1,224.83 "," 1,224.83 ", -   , -   , -   , 9 , 9 
GCO7XBAJETVZQIFKCZ7TSRSLL5V5P7PUEXD2SV5Z3PSHPBWGWSGIAB3F," 1,201.41 "," 1,201.41 "," 1,201.41 ", -   , -   , -   , 2 , 2 
GD7VOF2ZCNQNR67IZCAH6LQ43LH52NMFCKOIFG6LOIUZU3QXAO2UM6EF," 1,200.00 "," 1,200.00 "," 1,200.00 ", -   , -   , -   , 5 , 5 
GDOEQXWVVA3BOINDJBHQQCOACXMSBRCLPV3SEA6NR57FTJIEURTDNKXE," 1,200.00 "," 1,200.00 "," 1,200.00 ", -   , -   , -   , 6 , 6 
GCQ6FA2GZQO2OB6QJC5MWECD7HCO2ZVRAUEKRJN54LVQAO5NVN3FJUBM," 1,199.08 "," 1,600.02 "," 1,400.00 ", 200.02 , 0.90 , 2 , 4 , 6 
GBHW5ARGKIAT2GJQFJR5IIS3EMRG4KRBP5T3KJ7CV4HODZSYJRUTE3KS," 1,195.31 "," 1,195.31 "," 1,195.31 ", -   , -   , -   , 1 , 1 
GBGUSAGZUXLQBQIHKADCVMS6QHPZXIWEOGT2RO7CEK5XQFJOPOCPWTHD," 1,194.79 "," 1,617.38 "," 1,406.56 ", 210.82 , 0.95 , 9 , 9 , 18 
GCL6KEK5J44HS7LH2EREAHGR7W7REWG37DWWBRKCFOCKZ7PZNBS4QOPL," 1,188.57 "," 1,810.03 "," 1,500.00 ", 310.03 , 1.40 , 5 , 6 , 11 
GD6ZYNJ6M2HOJINXSM75M3EZSFVR2CVL2GZOETDYO7VOJAPOH5B7UMDK," 1,161.45 "," 1,161.45 "," 1,161.45 ", -   , -   , -   , 7 , 7 
GCTKY6RKU4CWMPOSHWGC4QKPQ7T7WSKG25XD2C72QTP4JIOWHMF472HP," 1,108.79 "," 2,351.58 "," 1,731.58 ", 620.00 , 2.79 , 2 , 4 , 6 
GDWXHUMS6R7B27CMASRDAGR4LFY3A5XHLJPAVQEEPOZVQNTBVALLMO7O," 1,103.85 "," 43,980.81 "," 22,590.46 "," 21,390.34 ", 96.26 , 8 , 12 , 20 
GCGAASUK5MHV2INPSS7YM5A2XE64YABV5HLPTFPWJUH5JFIPN6NVHFWN," 1,099.00 "," 1,102.62 "," 1,100.82 ", 1.80 , 0.01 , 4 , 15 , 19 
GAB6DG6FYEWWAFH42LWN73QNMLELR2IMJNT73WM4KJV2NUDOZSSJSAXG," 1,054.25 "," 1,054.25 "," 1,054.25 ", -   , -   , -   , 1 , 1 
GA7ESKZHQXCBHVXFVTE5SPUMBKBNFVATOSKOU5PAQR2XO2YISBPQBF2A," 1,034.37 "," 3,123.06 "," 2,081.06 "," 1,042.00 ", 4.69 , 6 , 12 , 18 
GBMM4NIBQ2YXLFZ67TZSQHY2FL24TKWVPBJ2C2PDTFHFTBE24M5WPGAC," 1,008.96 "," 1,009.20 "," 1,009.08 ", 0.12 , 0.00 , 2 , 3 , 5 
GBPQX7RWKSYLLS6OX3HCFMYJGB6RCHC6UDGU4M5SVCIB3UPFYJIWGHQF," 1,006.15 "," 1,006.15 "," 1,006.15 ", -   , -   , -   , 14 , 14 
GB7HUDEAWMQLSOR2HSPEN4GHKE3MVIQ74OQQMLKBHL36XFKSXGJBC4LN," 1,002.99 "," 1,003.03 "," 1,003.01 ", 0.02 , 0.00 , 1 , 4 , 5 
GBRHEOXG5JBUOPZ2PFHFBXU5XSUPDERMBPIQXJOTZMHF6T4BRHX7HU2E," 1,002.00 "," 1,002.00 "," 1,002.00 ", -   , -   , -   , 2 , 2 
GATDJ7WEWXPWFN7YYJWZETJE5RG7QTLQA4JXVIUJGQ5LSCRMAFSBYYNU," 1,001.91 "," 1,997.15 "," 1,500.65 ", 496.50 , 2.23 , 5 , 9 , 14 
GADK4APBRFNLCGCZ6J2VHTSGX56VBLBT5CATBOZZIVGSYNPOGKRSJLMB," 1,000.98 "," 1,001.02 "," 1,001.00 ", 0.02 , 0.00 , 1 , 3 , 4 
GBABMZH5RSM6THU32Q6AJXOUR7UI4IGGLRIWO52TJ65BO4OFUI4PPVOZ," 1,000.09 "," 1,002.10 "," 1,001.10 ", 1.00 , 0.00 , 1 , 2 , 3 
GBSYZ53BPKPLYLXARKCKCUNZS7TOB26YZ36XKY63LPWHRMTPIB34PB6N," 1,000.01 "," 10,977.72 "," 6,000.06 "," 4,977.66 ", 22.40 , 31 , 15 , 46 
GBSQBQHUCTXR6MYNJZBKFIYGN4TJ7S5YOYOPCJCQH4AHNCZYE4MU6CEY," 1,000.00 "," 1,000.00 "," 1,000.00 ", -   , -   , -   , 1 , 1 
GDXO3AJFWP5BLZG3722AY7OYUHXKLYTSBB3YLVDR6MWYXMPMJNO5LNBT," 1,000.00 "," 1,000.00 "," 1,000.00 ", -   , -   , -   , 1 , 1 
GBD7L7YUW4KUJF2K2JCCMOXUAFRDWDSSSJN6BUGFQQWFGMMQCE4I57ZK," 1,000.00 "," 1,000.00 "," 1,000.00 ", -   , -   , -   , 5 , 5 
GBTKRYRX6WQCWVENYJ6BWGNSZ2ANKRJXLK5XZD3MGRMXJM3SJYQOAWOV, 995.87 ," 8,177.12 "," 4,594.56 "," 3,582.56 ", 16.12 , 7 , 7 , 14 
GACHVWSC7M2Y4ARVKXGI6AR4UNTMQPBEYN55GGELUHTUSJSOBYEK54QG, 976.99 ," 2,035.67 "," 1,507.52 ", 528.15 , 2.38 , 2 , 6 , 8 
GAUFPESE74ZLHUFCYW2GTVZXW5I2XDGFQXLSOLYK2VTFZLPSBULBC5ZM, 914.98 , 917.02 , 916.00 , 1.02 , 0.00 , 2 , 2 , 4 
GAFNLER7N3XIKZKXASMBMOFRIWZ7HYM7E27R5JZTHTRUVEG52RURFHX6, 901.00 , 901.00 , 901.00 , -   , -   , -   , 2 , 2 
