address, current_balance , gross_tx_amount , in_amount , out_amount , fees , out_txn_count , in_tx_count , gross_txn_count ,
GAXDYZCKIT533FRGQKJF7IXP7MNPFNBMBRCVK7Y5D7NTADDMR6FBX57R, 599.12 ," 3,395 "," 2,000.00 "," 1,394.58 ", 6.30 , 4 , 8 , 12 ,
GCT7FLQXVMB2QCQNT4QJKBUCUMDOA4KLKVWJCC4DDHTXSTTFRUWWS2DX, 598.65 ," 1,200 ", 900.00 , 300.00 , 1.35 , 1 , 5 , 6 ,
GDWTLJ42NZECDMRABZO64RBYI5PMSDNZL52QA6MWEHHMT4HUAJPSGZJJ, 575.98 , 576 , 576.00 , 0.02 , 0.00 , 1 , 5 , 6 ,
GAJZLG7WY6G7S2NRJSMK3R2UJCBUFMFRXTEEAN5LQP5ARD5QRULCAOAA, 574.18 ," 1,731 "," 1,153.78 ", 577.00 , 2.60 , 7 , 17 , 24 ,
GBE3LNQP3RFBJNXV7NW72WNIMQ3SJAOYHO4W4NWQWWELVYKSXVQ7ZKCM, 567.73 ," 1,652 "," 1,111.10 ", 540.94 , 2.43 , 5 , 5 , 10 ,
GAWZBBXH42MJKQ3ORNTE2NPDMK4DOFBGCQK2QAJTGNCDYWP6JZXRJHQM, 548.23 , 550 , 549.28 , 1.04 , 0.00 , 3 , 3 , 6 ,
GBF3ASQPDGEKO6R6KBCC4ZPSLSEXLB7526K55P7AE6YSYQ4MURHGUH37, 530.04 , 530 , 530.08 , 0.03 , 0.00 , 3 , 6 , 9 ,
GDS6ABOYCNEL435Q6DEEGYMILGZAQHPG6NCAQVB32UYAXQ4W5YAFZGO3, 514.80 , 515 , 514.80 , -   , -   , -   , 12 , 12 ,
GDOEQXWVVA3BOINDJBHQQCOACXMSBRCLPV3SEA6NR57FTJIEURTDNKXE, 500.00 , 500 , 500.00 , -   , -   , -   , 5 , 5 ,
GDT24Q5ZBGAZWGJCHE3NOUATGZYKK7ZRGRJ3MPYDMLKM3REXLYXAADIE, 500.00 , 500 , 500.00 , -   , -   , -   , 1 , 1 ,
